Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017,HDI
Grenada,GRD,63.836,100.709999084473,23.5294117647059,8.82352941176471,-1000.0,,25.0,16.6,3.1,63.836,11.48,,2.61558157598129,22.722687475907,155662145.333704,41.19,29.177,,,2.083,96.0,,102.0771326,234.500423904612,,33.3333333333333,15.0,15.0,,53.06,326.1,0.773
Guatemala,GTM,49.32,99.5199966430664,35.9835759611795,8.04404628592759,-46073.0,0.3,95.0,26.4,25.0,49.32,65.09,,1.02999746104839,24.0706489340746,998344470.0,37.91,70.93,38.9010009765625,84.6009979248047,2.92,82.0,16.3,118.1585424,71.79523774418,0.402560936246118,12.6582278481013,26.5,26.5,3.0,103.77,150.125214632325,0.657
Guyana,GUY,73.462,101.360000610352,6.30962661925324,2.13360426720853,-30001.0,1.4,169.0,31.2,84.0,73.462,22.18,,3.1862005637256,22.3755746295002,327343651.21783,20.23,74.382,41.6069984436035,66.9700012207031,2.485,97.0,6.0,82.97107151,32.2489931864327,1.65039772772454,31.8840579710145,18.0,18.0,,15.74,3.93811531623063,0.68
"Hong Kong SAR, China",HKG,0.0,98.7099990844727,4.85714285714286,2.95238095238095,146542.0,,,,68.0,0.0,0.2,,,,125716724339.795,50.43,2.705,55.0499992370605,68.3150024414063,1.125,,2.5,251.7650057,10482.7408970405,,,1.5,1.5,324.0,,7041.14285714286,0.946
Honduras,HND,43.543,105.900001525879,29.940119760479,9.1160961658772,-34000.0,0.3,65.0,18.0,37.0,43.543,45.92,,0.982074930075613,20.6288506487651,949955941.517779,23.72,72.912,45.9210014343262,83.2419967651367,2.496,90.0,13.2,87.32089987,79.5417040335916,1.72440517780481,,42.0,42.0,4.0,43.62,84.2704084368576,0.633
Croatia,HRV,43.333,93.5100021362305,26.4534370030041,14.4371797137303,-40004.0,0.1,8.0,4.8,10.0,43.333,29.79,,4.22108594829621,17.9017722884016,460160214.941726,140.01,8.681,45.5960006713867,58.2430000305176,1.42,92.0,2.5,103.1730226,14607.9639115332,1.66530143649465,18.5430463576159,22.5,22.5,148.0,4227.47,72.8844495493904,0.848
Haiti,HTI,45.654,95.0400009155273,66.7634252539913,38.8243831640058,-175000.0,2.0,480.0,66.0,181.0,45.654,76.17,,0.30321331673819,15.0198243767223,374860000.0,2.26,51.676,62.3650016784668,69.7519989013672,2.986,64.0,48.0,57.41806456,4.55275260788498,0.0008810297312429,2.54237288135593,97.0,97.0,,41.52,398.489368650218,0.508
Hungary,HUN,28.938,98.5,58.1087004163927,47.3701512163051,29999.0,,12.0,4.4,7.7,28.938,14.54,,4.744601547115,15.9260481922424,-12133055292.6452,60.93,23.979,48.3849983215332,65.1900024414063,1.54,99.0,2.5,102.2119005,13627.1417371086,1.02665762335845,10.0502512562814,7.0,7.0,496.0,6645.69,107.253626999781,0.85
Indonesia,IDN,45.341,111.970001220703,33.1820876379946,14.0078475903573,-494777.0,0.4,177.0,25.6,319.0,45.341,26.15,,1.95472553635055,16.5026533008949,20510310832.4469,55.14,47.374,51.9640007019043,81.5400009155273,2.336,85.0,6.4,164.44059,1280.6490045385,0.865191376221992,19.8214285714286,24.54,24.54,2271.0,14579.71,140.957811345717,0.712
India,IND,66.4,108.879997253418,60.4313885086389,52.6088141020251,-2663434.0,,145.0,38.6,204.0,66.4,32.41,,1.7333608444622,90.8732104688993,39966091358.7384,22.0,13.177,20.9340000152588,74.3489990234375,2.243,89.0,13.8,87.31773719,123.099916712606,2.53146258766694,11.8081180811808,29.765,29.765,14961.0,121631.31,450.24932109956,0.642
