"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Europe & Central Asia (excluding high income)","ECA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.805","11.36","16.445","23.285","29.48","38.305","36.545","42.385","46.335","48.405","51.54","53.735","53.885","54.78","54.865","56.6","56.635","",
"Europe & Central Asia","ECS","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.375","38.19","40.07","49.05","54.38","57.43","59.24","60.25","63.42","58.3","59.46","60.66","61.16","61.96","62.07","63.37","59.96","",
"Ecuador","ECU","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19","8.06","13.61","34.83","34.13","43.21","44.67","26.21","27.53","29.08","32.21","33.61","34.01","33.56","34.93","36.84","0","",
"Egypt, Arab Rep.","EGY","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65","3.34","4.44","5.42","6.48","7.69","8.64","9.22","10.32","10.94","12.06","13.7","15.69","17.71","18.72","20.07","22.06","",
"Euro area","EMU","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.665","75.44","80.11","87.41","89.49","88.69","90.39","88.31","84.59","84.67","90.93","90.02","88.34","87.45","73.355","73.41","63.88","",
"Eritrea","ERI","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145.72","148.55","152.09","157.56","156.71","152.1","149.44","147.23","136.14","130.73","118.66","116.78","113.04","111.8","108.5","106.18","103.4","",
"Estonia","EST","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.66","73.17","80.2","87.67","89.49","88.69","88.67","87.83","83.59","79.57","76.71","72.61","69.96","67.77","67.92","65.68","64.6","",
"Ethiopia","ETH","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","0.03","0.04","0.07","0.1","0.3","0.32","0.46","","","","","","","","","",
"European Union","EUU","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.38","63.52","67.175","70.39","80.01","80.24","78.61","74.79","73.01","68.44","65.12","68.65","69.96","67.77","66.315","65.68","63.13","",
"Fragile and conflict affected situations","FCS","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64","1.78","3.39","2.45","3.195","3.04","3.24","3.42","3.915","4.34","4.46","4.7","4.865","5.22","6.4","7.155","",
"Finland","FIN","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.27","37.78","37.38","37.15","36.83","36.47","35.73","36.35","35.86","33.75","31.69","32.47","34.72","37.76","37.33","",
"Fiji","FJI","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.06","19.45","21.16","22.58","25.92","27.19","33.09","36.56","37.03","42.33","46.04","47.92","53.19","52.65","54.28","53.87","52.96","",
"France","FRA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.61","92.88","92.19","99.97","101.63","104.14","106.1","109.21","109.37","108.95","108.22","107.23","104.74","102.19","98.09","96.24","93.52","",
"Faroe Islands","FRO","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09","3.08","3.07","3.06","3.06","3.05","9.06","8.94","14.6","14.27","13.95","13.67","13.41","13.19","13","12.82","12.64","",
